fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA07,T09,nan,{},0.0,0.0,-0.23898510045092924,0.22887912727682647,0.30147821288172394,0.4056505435443489,9,1,0.23898510045092924,-0.22887912727682647,0.0,0.0,False,False,AA08_clean,AA08,clean,False
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA08_clean,AA08,clean,True
AA00,F51,nan,{},0.0,0.0,-0.012877950442767603,-0.02390135523875429,0.5594252683997638,0.46448181195872146,7520,98,0.012877950442767603,0.02390135523875429,0.0,0.0,True,True,AA08_constant,AA08,constant,False
AA01,G96,nan,{},0.0,0.0,0.1170010796448921,0.0019667462298599246,0.6594042190486576,0.5677135875685824,11605,99,-0.1170010796448921,-0.0019667462298599246,0.0,0.0,False,True,AA08_constant,AA08,constant,False
AA02,F52,nan,{},0.0,0.0,-0.019733351348168334,0.005454321235282308,0.5775196925633796,0.5126130104773614,4341,96,0.019733351348168334,-0.005454321235282308,0.0,0.0,True,True,AA08_constant,AA08,constant,False
AA03,703,nan,{},0.0,0.0,0.2814165576994905,-0.016540117012944795,0.8962734529736388,0.7037618606737891,31218,98,-0.2814165576994905,0.016540117012944795,0.0,0.0,False,True,AA08_constant,AA08,constant,False
AA04,691,nan,{},0.0,0.0,-0.044152361145794815,-0.024658389192738977,0.6689477473047026,0.5034565746585647,1893,82,0.044152361145794815,0.024658389192738977,0.0,0.0,True,True,AA08_constant,AA08,constant,False
AA05,W84,nan,{},0.0,0.0,-0.2089921832970371,0.04091890347753643,0.5325181026077277,0.277896491560423,137,14,0.2089921832970371,-0.04091890347753643,0.0,0.0,False,True,AA08_constant,AA08,constant,False
AA06,W68,nan,{},0.0,0.0,0.1924386791260557,-0.01152359593961542,1.1438650333308131,0.8168532778894844,12957,89,-0.1924386791260557,0.01152359593961542,0.0,0.0,False,True,AA08_constant,AA08,constant,False
AA07,T09,nan,{},0.0,0.0,-0.23898510045092924,0.22887912727682647,0.30147821288172394,0.4056505435443489,9,1,0.23898510045092924,-0.22887912727682647,0.0,0.0,False,False,AA08_constant,AA08,constant,False
AA08,V00,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.7002965690964119,0.019110743505830415,1.001680722632594,0.42620504508598145,455,58,-0.2002965690964119,-0.019110743505830415,10.647469061619065,0.0,False,True,AA08_constant,AA08,constant,True
