fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA07,T09,,{},0.0,0.0,0.2051327125055007,0.0393698863250246,0.3328598978933928,0.2261014832946989,26,2,-0.2051327125055007,-0.0393698863250246,0.0,0.0,False,True,AA01_mag_dep,AA01,mag_dep,False
AA08,V00,,{},0.0,0.0,-0.0369618533540688,0.0191583995689207,0.3784497711412709,0.3367051268065919,56,10,0.0369618533540688,-0.0191583995689207,0.0,0.0,True,True,AA01_mag_dep,AA01,mag_dep,False
AA00,F51,,{},0.0,0.0,-0.1073798455846789,0.001088600384636,0.2955779121850337,0.1884801887198579,11792,100,0.1073798455846789,-0.001088600384636,0.0,0.0,False,True,AA01_epoch,AA01,epoch,False
AA01,G96,CatalogEpochBias,"{'epoch_error_years': 5.0, 'pm_ra_median_masyr': 50.0, 'pm_dec_median_masyr': 30.0}",0.25,0.15,0.3207927244740483,0.1564678743510967,0.4539937859756205,0.2521038543529441,14710,100,-0.0707927244740482,-0.0064678743510967,66.78769212833114,72.1635865911015,True,True,AA01_epoch,AA01,epoch,True
AA02,F52,,{},0.0,0.0,-0.0911609009888034,-0.0002079777032661,0.3008493806375707,0.1898153139624014,6019,100,0.0911609009888034,0.0002079777032661,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA03,703,,{},0.0,0.0,-0.04915824125364,0.0109379305393946,0.4818531778828931,0.3784736189672143,11201,92,0.04915824125364,-0.0109379305393946,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA04,691,,{},0.0,0.0,-0.0976788876531483,0.0061517391274706,0.4211357882964523,0.3628609271837949,3214,97,0.0976788876531483,-0.0061517391274706,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA05,W84,,{},0.0,0.0,-0.116756862606948,0.0696227520502214,0.3344582637256446,0.2503364098382366,354,31,0.116756862606948,-0.0696227520502214,0.0,0.0,False,True,AA01_epoch,AA01,epoch,False
AA06,W68,,{},0.0,0.0,-0.0460912654089817,0.0058393693370061,0.4565657222781992,0.3979470286796072,4780,57,0.0460912654089817,-0.0058393693370061,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA07,T09,,{},0.0,0.0,0.0795009058123013,0.0281197256810083,0.3149823970329761,0.2588235560814892,76,9,-0.0795009058123013,-0.0281197256810083,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA08,V00,,{},0.0,0.0,0.0144228652678908,0.0109435386753322,0.5055705698639208,0.3715823823100082,470,66,-0.0144228652678908,-0.0109435386753322,0.0,0.0,True,True,AA01_epoch,AA01,epoch,False
AA00,F51,,{},0.0,0.0,-0.0024464253465979,0.0052881216662157,0.2900660377381806,0.1954924903473519,11792,100,0.0024464253465979,-0.0052881216662157,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA01,G96,SeasonalBias,"{'amplitude_ra': 0.3, 'amplitude_dec': 0.1, 'phase_days': 0.0}",0.0642906236992618,0.0214302078997539,0.1350833707187756,0.0278980822508314,0.390490415583623,0.2147289345363145,14710,100,-0.0707927470195138,-0.0064678743510775,19.96841511987531,12.104368911350578,True,True,AA01_seasonal,AA01,seasonal,True
AA02,F52,,{},0.0,0.0,-0.0333003979632432,0.0022009867509466,0.2916340118307126,0.1938359978120245,6019,100,0.0333003979632432,-0.0022009867509466,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA03,703,,{},0.0,0.0,0.0591667991922369,0.0162575427677917,0.4975239142873238,0.3919005245673398,11201,92,-0.0591667991922369,-0.0162575427677917,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA04,691,,{},0.0,0.0,0.093520615357697,0.0075270796346131,0.451390932319836,0.3746028578260233,3214,97,-0.093520615357697,-0.0075270796346131,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA05,W84,,{},0.0,0.0,-0.0052389522363633,0.0437649328336039,0.3079359741052833,0.2479179995939651,354,31,0.0052389522363633,-0.0437649328336039,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA06,W68,,{},0.0,0.0,-0.0563588028882216,-0.0060104993043551,0.3855752306276666,0.4037484482132475,4780,57,0.0563588028882216,0.0060104993043551,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA07,T09,,{},0.0,0.0,0.1731678844607038,0.0350926723805163,0.3501125261809339,0.2581349949962886,76,9,-0.1731678844607038,-0.0350926723805163,0.0,0.0,False,True,AA01_seasonal,AA01,seasonal,False
AA08,V00,,{},0.0,0.0,0.0516097440907965,0.0201334385028672,0.5001689376501826,0.3744416517925796,470,66,-0.0516097440907965,-0.0201334385028672,0.0,0.0,True,True,AA01_seasonal,AA01,seasonal,False
AA00,F51,,{},0.0,0.0,0.0087076006712266,0.0036795850000226,0.2859986699107079,0.1941725348636582,11792,100,-0.0087076006712266,-0.0036795850000226,0.0,0.0,True,True,AA01_step,AA01,step,False
